Question,Option1,Option2,Option3,Option4,CorrectAnswer
Com branch&bound millora la velocitat de la cerca de la solució respecte backtracking?,Branch&bound fa una cerca informada, Branch&bound elimina més parts de l'espai de cerca que Backtracking si l'heurística es bona,Branch&bound no fa una cerca per tot l'arbre de solucions, a) i b),4
Aplicant branch&bound amb una única funció d’estimació a un problema d’optimització quan podrem podar solucions parcials pel valor de la funció d’estimació?,Podrem podar abans de trobar una solució completa,Ja podrem podar des del principi de la cerca,Podrem podar després de trobar una solució completa, b) i c),3
En un problema en què ens val trobar una solució completa qualsevol. Què seran nodes vius en l’algorisme de branch&bound?,Nodes ramificats que són solucions parcials.,Nodes no ramificats que són solucions parcials,Nodes ramificats que poden ser solucions parcials o completes,Nodes no ramificats que poden ser solucions parcials o completes,2
En el cas de solucionar un problema d’optimització amb branch&bound amb dues cotes podem podar x1 si,L(x1)>L(x2) on x1 i x2 són nodes de branch&bound,U(x1)>U(x2) on x1 i x2 són nodes de branch&bound,U(x1)>L(x2) on x1 i x2 són nodes de branch&bound,L(x1)>U(x2) on x1 i x2 són nodes de branch&bound,4
Quan podem considerar que una solució completa és la solució que cerquem en branch&bound?,Quan traiem la solució de la cua amb prioritat en problemes d’optimització,Quan creem la solució en el pas de ramificació en problemes d’optimització,En problemes d’optimització hem trobat la solució en crear-la en el pas de ramificació, En problemes que no són d’optimització hem de esperar a treure-la de la cua,1
Quin problema vol atacar la programació dinàmica durant la cerca de solucions?,Dirigir la cerca per la part de l’espai de cerca més prometedora per trobar abans la solució,Evitar repetir el càlcul de solucions parcials o completes durant la cerca de solucions,Simplificar els algoritmes de cerca utilitzant una taula,Utilitzar heurístiques per valorar les solucions parcials,2
Quina condició ha de complir un problema d’optimització per solucionar-lo amb programació dinàmica?,Que tota seqüència de passos òptims porti a solució òptima,Que els passos que porten a solució òptima poden ser òptims o no,Que la solució òptima està formada per una seqüència de passos òptims,Que la solució òptima està formada per una única seqüència de passos òptims,3
Si estem aplicant la tècnica top-down per solucionar un problema de programació dinàmica quina estructura de dades haurem d’utilitzar?,Un graf,Una cua amb prioritat,Una taula de memorització de solucions de problemes ja solucionats,Una pila amb prioritat,3
Què vol dir que dos problemes A i B són dependents?,Que el conjunt de subproblemes que s’han de solucionar pel problema A té intersecció amb el conjunt de subproblemes que s’han solucionar per B,Que el conjunt de subproblemes que s’han de solucionar pel problema A és disjunt del conjunt de subproblemes que s’han solucionar per B,Que el problema A és igual al problema B,Que el problema A és equivalent al problema B,1
Què signifiquen els índexs de la taula utilitzada per solucionar un problema mitjançant programació dinàmica?,Són els paràmetres dels subproblemes en què subdividim el problema a solucionar,Són les solucions dels subproblemes en què subdividim el problema a solucionar,És el cost de les solucions dels subproblemes en què subdividim el problema a solucionar, És la funció d’estimació de les solucions dels subproblemes en què subdividim el problema a solucionar,1
Quan un algorisme no dona sempre el resultat correcte el podem classificar en...,Algorismes de Las Vegas i algorismes de Monte Carlo,Algorismes numèrics i algorismes de Monte Carlo,Algorismes de las Vegas i algorismes de Sherwood,Algorismes numèrics i algorismes de Las Vegas,2
Un algorisme probabilístic correcte pot...,Donar un resultat incorrecte,Generar un error d’execució,No acabar mai,Totes les anteriors,4
